CUSTOMER_ID,SIGNUP_DATE,CHURN_DATE,SUBSCRIPTION_PLAN,CONTRACT_TYPE,MONTHLY_FEE,SUPPORT_TICKETS,USAGE_HOURS
CUST-100060,10/9/2023,,Basic,Annual,29,3,26.8
CUST-100061,1/21/2022,,Basic,Annual,29,1,18.2
CUST-100062,4/20/2024,,Basic,Monthly,29,0,58.4
CUST-100063,6/16/2022,,Pro,Monthly,79,2,27.1
CUST-100064,10/1/2022,,Basic,Annual,29,4,17.5
CUST-100065,1/23/2023,,Enterprise,Monthly,299,0,5
CUST-100066,8/24/2023,,Pro,Monthly,79,1,57
CUST-100067,11/12/2022,,Basic,Monthly,29,1,60.2
CUST-100068,1/14/2022,,Basic,Monthly,29,1,26.1
CUST-100069,8/30/2022,11/3/2022,Basic,Annual,29,3,38.3
CUST-100070,2/16/2024,,Basic,Monthly,29,2,20
CUST-100071,12/12/2022,,Pro,Monthly,79,4,10.6
CUST-100072,7/19/2023,,Basic,Monthly,29,1,36.8
CUST-100073,6/16/2024,4/10/2025,Pro,Annual,79,1,51.7
CUST-100074,12/6/2022,,Basic,Monthly,29,1,32.8
CUST-100075,4/2/2022,,Pro,Monthly,79,2,26.3
CUST-100076,1/2/2023,,Pro,Monthly,79,3,53.3
CUST-100077,8/13/2024,,Basic,Annual,29,1,31
CUST-100078,3/31/2023,,Basic,Monthly,29,3,37.3
CUST-100079,3/4/2023,,Pro,Monthly,79,1,41.4
CUST-100080,5/24/2023,,Enterprise,Monthly,299,3,30.2
CUST-100081,2/15/2024,,Basic,Monthly,29,1,20.6
CUST-100082,7/31/2024,,Basic,Annual,29,3,44
CUST-100083,2/4/2022,,Basic,Monthly,29,3,58.1
CUST-100084,7/25/2022,,Basic,Monthly,29,3,40.1
CUST-100085,3/22/2022,11/3/2022,Basic,Monthly,29,4,48.1
CUST-100086,7/20/2024,,Basic,Annual,29,4,47.5
CUST-100087,7/16/2023,,Pro,Annual,79,1,42.2
CUST-100088,5/21/2024,,Basic,Monthly,29,1,23.5
CUST-100089,1/23/2023,,Basic,Monthly,29,2,43.8
CUST-100090,1/2/2022,5/22/2022,Basic,Monthly,29,2,52.1
CUST-100091,1/25/2023,,Enterprise,Monthly,299,2,17
CUST-100092,7/20/2023,11/30/2023,Basic,Monthly,29,3,22.2
CUST-100093,4/16/2022,,Enterprise,Monthly,299,3,53.1
CUST-100094,2/11/2024,,Pro,Monthly,79,1,55.2
CUST-100095,4/1/2024,,Basic,Monthly,29,3,25.7
CUST-100096,4/22/2023,8/1/2023,Basic,Monthly,29,7,29.7
CUST-100097,12/4/2023,,Pro,Annual,79,1,56.9
CUST-100098,2/6/2023,,Pro,Annual,79,1,57
CUST-100099,12/31/2023,,Pro,Annual,79,2,43.1
CUST-100100,7/10/2023,,Pro,Monthly,79,2,52.4
CUST-100101,6/11/2022,,Pro,Monthly,79,2,19.4
CUST-100102,7/21/2022,,Basic,Annual,29,1,13
CUST-100103,8/15/2024,,Pro,Monthly,79,1,35.7
CUST-100104,9/22/2024,,Pro,Annual,79,1,52.3
CUST-100105,9/27/2022,,Basic,Monthly,29,3,38
CUST-100106,5/12/2024,3/1/2025,Pro,Annual,79,2,54.8
CUST-100107,3/26/2024,,Pro,Monthly,79,2,50.1
CUST-100108,9/28/2022,,Basic,Monthly,29,4,35.8
CUST-100109,4/1/2023,8/13/2023,Basic,Annual,29,1,33.2
CUST-100110,4/7/2023,,Basic,Annual,29,0,40.6
CUST-100111,12/28/2023,,Basic,Monthly,29,0,69
CUST-100112,9/9/2022,5/3/2023,Basic,Monthly,29,0,33.9
CUST-100113,12/3/2023,,Basic,Annual,29,1,7.5
CUST-100114,10/23/2022,,Basic,Monthly,29,2,39.3
CUST-100115,12/26/2023,,Basic,Annual,29,0,24.9
CUST-100116,12/21/2023,,Enterprise,Monthly,299,1,22.4
CUST-100117,1/19/2024,3/10/2024,Basic,Annual,29,1,38.8
CUST-100118,12/4/2022,,Basic,Monthly,29,4,53.2
CUST-100119,5/28/2024,,Basic,Annual,29,1,50.1
CUST-100120,2/22/2022,9/2/2022,Pro,Monthly,79,3,53.2
CUST-100121,3/2/2024,,Basic,Annual,29,3,20.3
CUST-100122,7/10/2024,,Basic,Monthly,29,0,55.1
CUST-100123,8/5/2022,9/9/2022,Basic,Monthly,29,1,26
CUST-100124,2/3/2024,,Enterprise,Annual,299,5,39.2
CUST-100125,7/7/2022,,Pro,Monthly,79,4,58.9
CUST-100126,1/15/2023,,Basic,Annual,29,2,61.2
CUST-100127,5/8/2023,,Basic,Monthly,29,3,38.1
CUST-100128,2/10/2022,9/29/2022,Basic,Monthly,29,3,38.8
CUST-100129,6/6/2022,,Basic,Monthly,29,1,22
CUST-100130,1/15/2022,,Pro,Monthly,79,2,33.4
CUST-100131,3/23/2024,,Basic,Monthly,29,2,31.4
CUST-100132,3/6/2022,5/25/2022,Pro,Monthly,79,3,36.2
CUST-100133,5/6/2024,,Basic,Monthly,29,1,44.4
CUST-100134,4/18/2024,,Pro,Monthly,79,2,39.1
CUST-100135,6/5/2023,,Basic,Monthly,29,0,20.6
CUST-100136,12/10/2022,9/19/2023,Basic,Annual,29,4,37.6
CUST-100137,5/9/2022,,Pro,Monthly,79,1,45.8
CUST-100138,10/10/2023,,Basic,Monthly,29,2,65.5
CUST-100139,4/17/2023,,Pro,Monthly,79,0,40.6
CUST-100140,3/4/2022,,Enterprise,Monthly,299,1,20.6
CUST-100141,5/19/2022,,Basic,Annual,29,1,32.9
CUST-100142,5/14/2023,,Enterprise,Monthly,299,2,42
CUST-100143,8/16/2023,,Basic,Monthly,29,2,43.8
CUST-100144,1/27/2023,10/23/2023,Basic,Monthly,29,3,5
CUST-100145,11/6/2023,,Pro,Monthly,79,3,43.8
CUST-100146,2/23/2023,7/20/2023,Pro,Monthly,79,3,65.7
CUST-100147,10/16/2022,,Basic,Monthly,29,0,53.6
CUST-100148,1/14/2023,,Pro,Monthly,79,4,42.6
CUST-100149,2/12/2024,,Enterprise,Monthly,299,0,40.5
CUST-100150,5/5/2023,,Basic,Monthly,29,2,53.1
CUST-100151,8/19/2022,,Enterprise,Annual,299,0,66.6
CUST-100152,2/10/2022,,Pro,Monthly,79,1,38.7
CUST-100153,1/28/2022,,Enterprise,Monthly,299,2,34.6
CUST-100154,5/15/2022,,Basic,Monthly,29,3,49.6
CUST-100155,7/20/2022,,Pro,Annual,79,4,36.2
CUST-100156,4/19/2024,,Basic,Monthly,29,2,39.4
CUST-100157,2/19/2024,,Enterprise,Annual,299,0,28.5
CUST-100158,7/18/2024,,Pro,Monthly,79,1,48
CUST-100159,2/2/2022,,Basic,Monthly,29,1,32
CUST-100160,2/17/2022,,Basic,Annual,29,0,27.2
CUST-100161,5/18/2023,,Pro,Monthly,79,2,35.4
CUST-100162,2/11/2023,,Pro,Annual,79,1,48.8
CUST-100163,7/28/2023,,Basic,Annual,29,1,41.1
CUST-100164,12/29/2023,,Basic,Monthly,29,3,53
CUST-100165,3/15/2024,,Pro,Monthly,79,1,10.2
CUST-100166,4/9/2022,,Basic,Monthly,29,5,24
CUST-100167,11/15/2023,,Basic,Annual,29,3,24.1
CUST-100168,5/21/2024,,Enterprise,Annual,299,2,31.9
CUST-100169,12/27/2023,6/19/2024,Basic,Monthly,29,2,67.4
CUST-100170,9/13/2024,,Basic,Monthly,29,2,41.1
CUST-100171,7/1/2023,2/13/2024,Basic,Monthly,29,2,25.8
CUST-100172,8/18/2024,,Enterprise,Annual,299,2,46.6
CUST-100173,1/9/2024,,Basic,Annual,29,3,36.9
CUST-100174,9/5/2023,3/19/2024,Pro,Monthly,79,3,23.5
CUST-100175,7/31/2024,,Enterprise,Monthly,299,1,33.7
CUST-100176,4/7/2023,,Basic,Annual,29,4,45.9
CUST-100177,10/5/2023,3/8/2024,Pro,Annual,79,0,5.7
CUST-100178,2/8/2024,,Basic,Monthly,29,1,62.1
CUST-100179,1/5/2022,,Pro,Monthly,79,0,42.4
CUST-100180,8/6/2022,,Basic,Monthly,29,4,42
CUST-100181,5/18/2023,,Pro,Annual,79,2,65.2
CUST-100182,2/6/2024,9/1/2024,Basic,Monthly,29,1,47.9
CUST-100183,2/2/2023,10/17/2023,Basic,Monthly,29,2,5.1
CUST-100184,5/20/2024,,Enterprise,Annual,299,2,22.4
CUST-100185,3/5/2024,,Basic,Annual,29,2,27.9
CUST-100186,1/28/2023,,Pro,Monthly,79,2,37.8
CUST-100187,7/26/2022,9/1/2022,Basic,Monthly,29,3,41.9
CUST-100188,1/15/2022,,Basic,Annual,29,1,38.1
CUST-100189,5/7/2024,,Pro,Monthly,79,1,35.8
CUST-100190,7/8/2023,,Basic,Annual,29,3,72.1
CUST-100191,6/10/2024,,Enterprise,Monthly,299,0,26.3
CUST-100192,4/6/2023,,Basic,Monthly,29,5,30.4
CUST-100193,11/22/2023,,Basic,Annual,29,1,41.5
CUST-100194,7/29/2023,,Pro,Annual,79,1,41.7
CUST-100195,5/13/2024,,Basic,Monthly,29,2,40.1
CUST-100196,1/13/2024,,Basic,Annual,29,3,43
CUST-100197,8/29/2022,,Pro,Annual,79,1,45.8
CUST-100198,7/18/2023,,Basic,Monthly,29,0,48.6
CUST-100199,4/6/2022,11/19/2022,Basic,Annual,29,4,29.3
CUST-100200,6/18/2024,,Pro,Monthly,79,0,47.8
CUST-100201,1/4/2024,,Pro,Monthly,79,3,40.8
CUST-100202,4/30/2023,,Basic,Monthly,29,1,62.1
CUST-100203,2/11/2023,,Pro,Monthly,79,3,36.3
CUST-100204,8/19/2022,,Pro,Monthly,79,2,40.8
CUST-100205,1/19/2024,,Pro,Annual,79,1,43.7
CUST-100206,10/17/2023,,Basic,Annual,29,1,37.8
CUST-100207,6/20/2022,,Enterprise,Monthly,299,1,21.5
CUST-100208,6/25/2023,,Basic,Monthly,29,1,47
CUST-100209,2/5/2022,,Pro,Monthly,79,3,41.6
CUST-100210,6/9/2023,,Enterprise,Monthly,299,2,19.3
CUST-100211,6/9/2022,,Pro,Monthly,79,3,28.4
CUST-100212,4/18/2024,,Enterprise,Monthly,299,2,44.9
CUST-100213,11/30/2023,,Basic,Monthly,29,2,44.3
CUST-100214,8/31/2022,,Basic,Annual,29,0,53.5
CUST-100215,3/27/2022,,Enterprise,Annual,299,4,12.9
CUST-100216,3/6/2024,,Basic,Monthly,29,3,35.6
CUST-100217,8/1/2023,,Pro,Monthly,79,1,25.3
CUST-100218,11/13/2023,,Basic,Annual,29,3,30.6
CUST-100219,7/11/2023,,Pro,Monthly,79,1,26.9
CUST-100220,7/28/2023,4/1/2024,Pro,Annual,79,1,40.1
CUST-100221,8/10/2024,1/6/2025,Basic,Monthly,29,2,14.8
CUST-100222,10/8/2023,,Basic,Annual,29,1,27.6
CUST-100223,3/6/2024,,Pro,Monthly,79,0,36
CUST-100224,1/28/2022,5/16/2022,Basic,Monthly,29,3,32.2
CUST-100225,9/12/2023,,Pro,Monthly,79,3,31.2
CUST-100226,7/10/2023,,Pro,Annual,79,1,57.6
CUST-100227,12/6/2022,,Basic,Monthly,29,1,36.4
CUST-100228,3/8/2024,,Pro,Monthly,79,2,47.2
CUST-100229,8/15/2024,,Basic,Monthly,29,1,53.3
CUST-100230,11/27/2022,,Basic,Monthly,29,2,49.9
CUST-100231,10/2/2023,7/13/2024,Basic,Monthly,29,0,41.8
CUST-100232,5/21/2023,,Pro,Annual,79,0,39.9
CUST-100233,12/14/2022,2/7/2023,Enterprise,Annual,299,4,36.2
CUST-100234,4/18/2023,,Basic,Monthly,29,2,59.1
CUST-100235,8/19/2022,,Basic,Annual,29,4,51.3
CUST-100236,7/9/2022,4/18/2023,Basic,Monthly,29,1,18.9
CUST-100237,8/13/2022,,Pro,Annual,79,1,21.4
CUST-100238,1/20/2023,,Basic,Monthly,29,0,45.1
CUST-100239,1/12/2023,,Pro,Monthly,79,2,41.8
CUST-100240,10/10/2022,,Basic,Annual,29,1,46.1
CUST-100241,8/15/2024,9/26/2024,Pro,Monthly,79,3,41.3
CUST-100242,9/25/2023,,Pro,Monthly,79,1,21.9
CUST-100243,9/20/2023,,Enterprise,Monthly,299,4,50.3
CUST-100244,8/30/2024,6/2/2025,Basic,Annual,29,2,39.7
CUST-100245,1/15/2024,,Pro,Monthly,79,1,46.7
CUST-100246,9/16/2022,1/10/2023,Pro,Monthly,79,3,48.4
CUST-100247,12/25/2022,,Pro,Monthly,79,1,35.6
CUST-100248,12/11/2023,,Basic,Monthly,29,2,52.8
CUST-100249,4/1/2023,,Enterprise,Monthly,299,6,49.9
CUST-100250,2/15/2023,5/15/2023,Basic,Annual,29,4,38.7
CUST-100251,10/11/2023,,Basic,Monthly,29,1,40
CUST-100252,11/14/2022,,Basic,Monthly,29,5,63.6
CUST-100253,11/8/2023,,Pro,Monthly,79,3,54.3
CUST-100254,8/13/2022,,Pro,Annual,79,4,51.9
CUST-100255,3/29/2024,,Basic,Monthly,29,2,45.4
CUST-100256,8/22/2022,,Basic,Monthly,29,2,48.6
CUST-100257,11/15/2023,,Pro,Monthly,79,3,37.9
CUST-100258,10/26/2023,4/24/2024,Basic,Annual,29,8,36.8
CUST-100259,9/1/2024,,Enterprise,Monthly,299,2,32.2
CUST-100260,4/6/2024,10/20/2024,Enterprise,Monthly,299,0,37.2
CUST-100261,1/9/2023,,Basic,Annual,29,1,33.1
CUST-100262,11/3/2023,,Basic,Annual,29,2,58
CUST-100263,8/31/2023,,Enterprise,Monthly,299,0,40.1
CUST-100264,4/17/2023,,Basic,Monthly,29,1,35.6
CUST-100265,8/21/2022,,Basic,Monthly,29,1,22.8
CUST-100266,11/23/2023,,Basic,Annual,29,2,32.6
CUST-100267,4/23/2022,,Basic,Monthly,29,4,37.9
CUST-100268,4/9/2024,,Pro,Monthly,79,1,71.3
CUST-100269,5/12/2023,,Pro,Annual,79,2,49.2
CUST-100270,3/18/2023,,Enterprise,Monthly,299,1,25.4
CUST-100271,7/18/2023,,Basic,Monthly,29,4,35
CUST-100272,9/25/2022,,Basic,Annual,29,1,43.5
CUST-100273,5/25/2023,,Enterprise,Annual,299,4,43.4
CUST-100274,3/17/2024,11/13/2024,Pro,Monthly,79,3,8
CUST-100275,1/21/2023,,Pro,Monthly,79,2,39.7
CUST-100276,1/22/2023,,Basic,Monthly,29,3,35.9
CUST-100277,4/23/2022,1/2/2023,Pro,Monthly,79,3,54.7
CUST-100278,9/5/2023,,Basic,Monthly,29,2,26.9
CUST-100279,9/17/2023,,Pro,Monthly,79,1,25.7
CUST-100280,8/9/2024,,Pro,Monthly,79,2,53.2
CUST-100281,3/22/2022,,Pro,Monthly,79,3,29.8
CUST-100282,11/30/2023,5/28/2024,Pro,Monthly,79,4,11.9
CUST-100283,4/23/2022,,Pro,Monthly,79,1,28.9
CUST-100284,1/2/2022,,Basic,Monthly,29,2,52.3
CUST-100285,10/4/2023,,Basic,Monthly,29,0,52.8
CUST-100286,8/8/2022,,Pro,Monthly,79,0,47.7
CUST-100287,7/20/2023,,Basic,Monthly,29,1,37.2
CUST-100288,5/4/2024,,Basic,Monthly,29,2,39.8
CUST-100289,9/23/2024,,Basic,Annual,29,4,32.4
CUST-100290,1/6/2024,9/3/2024,Basic,Monthly,29,4,64.2
CUST-100291,8/13/2022,,Enterprise,Monthly,299,1,31.5
CUST-100292,1/20/2023,,Basic,Monthly,29,2,48.5
CUST-100293,2/7/2023,,Pro,Annual,79,3,31.6
CUST-100294,9/30/2023,,Pro,Monthly,79,0,52.9
CUST-100295,5/10/2022,8/12/2022,Basic,Monthly,29,4,43.6
CUST-100296,2/22/2022,,Enterprise,Monthly,299,1,38.7
CUST-100297,11/15/2023,,Basic,Monthly,29,0,21.6
CUST-100298,12/31/2023,6/27/2024,Enterprise,Monthly,299,1,48.4
CUST-100299,11/3/2023,,Basic,Monthly,29,1,29.6
CUST-100300,12/11/2023,8/9/2024,Basic,Monthly,29,4,45.3
CUST-100301,2/20/2023,,Basic,Annual,29,2,31.2
CUST-100302,9/4/2022,5/24/2023,Basic,Annual,29,2,51.3
CUST-100303,4/15/2024,,Pro,Monthly,79,2,52.7
CUST-100304,3/15/2023,,Basic,Monthly,29,2,35.8
CUST-100305,7/22/2022,,Pro,Annual,79,1,31.1
CUST-100306,7/3/2022,,Basic,Monthly,29,1,59
CUST-100307,5/3/2022,,Pro,Annual,79,2,41
CUST-100308,2/5/2023,,Pro,Annual,79,1,28.2
CUST-100309,2/6/2024,7/29/2024,Basic,Monthly,29,2,39.4
CUST-100310,10/21/2022,,Basic,Monthly,29,2,39
CUST-100311,10/7/2022,4/28/2023,Pro,Monthly,79,1,38.2
CUST-100312,4/16/2024,12/9/2024,Basic,Monthly,29,5,39.1
CUST-100313,6/2/2024,,Basic,Annual,29,1,28.2
CUST-100314,9/2/2023,,Pro,Monthly,79,0,34.8
CUST-100315,7/17/2022,,Enterprise,Monthly,299,3,28.9
CUST-100316,9/8/2024,,Enterprise,Monthly,299,1,74
CUST-100317,6/25/2024,,Pro,Monthly,79,1,32.9
CUST-100318,5/26/2023,,Pro,Monthly,79,5,30.8
CUST-100319,1/22/2024,,Enterprise,Monthly,299,2,26.6
CUST-100320,5/24/2022,,Pro,Monthly,79,0,70
CUST-100321,9/1/2023,,Basic,Annual,29,1,35.9
CUST-100322,7/20/2022,,Enterprise,Monthly,299,1,35.8
CUST-100323,5/4/2022,,Basic,Monthly,29,1,43.5
CUST-100324,7/6/2022,,Basic,Monthly,29,3,25.2
CUST-100325,11/22/2022,,Pro,Annual,79,1,27.6
CUST-100326,4/9/2023,,Basic,Monthly,29,1,32.3
CUST-100327,12/15/2022,,Basic,Monthly,29,2,42.9
CUST-100328,2/10/2024,,Basic,Monthly,29,1,46.7
CUST-100329,10/22/2023,,Pro,Monthly,79,3,30.5
CUST-100330,2/3/2024,5/3/2024,Enterprise,Annual,299,2,42.7
CUST-100331,8/12/2024,,Basic,Monthly,29,1,32.1
CUST-100332,7/20/2024,,Basic,Monthly,29,1,33.2
CUST-100333,2/7/2023,3/21/2023,Basic,Annual,29,3,52.8
CUST-100334,12/12/2022,,Pro,Annual,79,6,38
CUST-100335,8/20/2024,,Pro,Monthly,79,0,23.2
CUST-100336,5/26/2023,,Basic,Monthly,29,2,22.2
CUST-100337,5/27/2022,,Basic,Annual,29,4,52.5
CUST-100338,5/28/2022,,Pro,Annual,79,2,27.3
CUST-100339,5/13/2024,7/20/2024,Pro,Annual,79,2,42
CUST-100340,12/12/2023,,Basic,Monthly,29,0,63.9
CUST-100341,3/30/2024,,Basic,Monthly,29,1,39.2
CUST-100342,5/4/2023,,Basic,Monthly,29,2,39
CUST-100343,7/17/2024,,Enterprise,Monthly,299,1,48.8
CUST-100344,7/24/2024,,Pro,Monthly,79,0,51.6
CUST-100345,10/2/2023,,Pro,Monthly,79,1,39.8
CUST-100346,7/5/2023,,Enterprise,Monthly,299,1,32.4
CUST-100347,12/4/2022,,Pro,Monthly,79,1,46.8
CUST-100348,5/21/2024,,Enterprise,Monthly,299,2,9.1
CUST-100349,10/3/2023,3/19/2024,Basic,Monthly,29,0,44.2
CUST-100350,2/18/2024,8/7/2024,Basic,Monthly,29,3,67.8
CUST-100351,9/14/2024,,Pro,Annual,79,1,53
CUST-100352,8/10/2024,,Pro,Annual,79,2,44.4
CUST-100353,4/18/2023,,Basic,Monthly,29,2,44
CUST-100354,8/3/2024,,Basic,Annual,29,5,69.9
CUST-100355,5/31/2022,,Basic,Monthly,29,0,24.5
CUST-100356,2/19/2023,,Basic,Annual,29,1,24.7
CUST-100357,9/16/2024,,Basic,Monthly,29,1,40.3
CUST-100358,10/25/2022,,Pro,Monthly,79,1,33.4
CUST-100359,9/3/2023,,Enterprise,Monthly,299,1,46.1
CUST-100360,9/20/2022,,Pro,Monthly,79,2,30
CUST-100361,2/3/2024,,Pro,Monthly,79,1,50.4
CUST-100362,5/24/2022,,Enterprise,Annual,299,2,24.1
CUST-100363,12/12/2022,,Basic,Monthly,29,2,24.9
CUST-100364,9/16/2023,,Basic,Monthly,29,6,52.1
CUST-100365,7/26/2023,11/26/2023,Basic,Annual,29,3,29
CUST-100366,5/30/2024,,Enterprise,Monthly,299,5,13.3
CUST-100367,1/2/2022,6/13/2022,Basic,Monthly,29,1,41.7
CUST-100368,6/15/2024,,Pro,Monthly,79,2,38.2
CUST-100369,10/31/2022,2/10/2023,Basic,Annual,29,4,34.2
CUST-100370,9/11/2022,,Enterprise,Monthly,299,2,46.9
CUST-100371,10/14/2023,,Basic,Annual,29,0,59
CUST-100372,3/29/2023,,Pro,Monthly,79,3,30.7
CUST-100373,2/6/2022,6/8/2022,Basic,Monthly,29,2,50.9
CUST-100374,6/9/2022,1/3/2023,Basic,Monthly,29,1,26.8
CUST-100375,1/9/2022,,Pro,Monthly,79,1,68.9
CUST-100376,8/21/2022,11/17/2022,Enterprise,Annual,299,2,25.4
CUST-100377,4/9/2022,9/18/2022,Pro,Monthly,79,1,39
CUST-100378,10/21/2023,,Enterprise,Annual,299,1,25.8
CUST-100379,3/26/2024,,Pro,Monthly,79,1,53.3
CUST-100380,7/27/2022,,Pro,Monthly,79,1,45.9
CUST-100381,5/11/2022,,Basic,Monthly,29,1,44.7
CUST-100382,2/8/2023,,Basic,Annual,29,0,41
CUST-100383,6/1/2022,,Basic,Monthly,29,2,23.9
CUST-100384,2/23/2022,,Enterprise,Monthly,299,0,35.7
CUST-100385,4/30/2022,,Enterprise,Monthly,299,0,24.7
CUST-100386,11/4/2023,,Pro,Monthly,79,2,48.3
CUST-100387,7/8/2024,,Basic,Monthly,29,4,33.9
CUST-100388,9/20/2023,,Basic,Monthly,29,0,28.4
CUST-100389,8/10/2023,,Enterprise,Monthly,299,0,34.6
CUST-100390,9/17/2023,,Basic,Annual,29,1,16.6
CUST-100391,8/25/2024,4/9/2025,Pro,Annual,79,2,22.2
CUST-100392,2/24/2023,,Basic,Monthly,29,1,32.8
CUST-100393,2/26/2023,,Basic,Annual,29,2,27.6
CUST-100394,4/14/2022,6/21/2022,Pro,Monthly,79,2,25.5
CUST-100395,5/1/2024,,Basic,Annual,29,1,57.2
CUST-100396,9/11/2022,,Basic,Monthly,29,1,56.8
CUST-100397,8/15/2022,,Enterprise,Monthly,299,1,36.4
CUST-100398,4/22/2022,,Pro,Annual,79,3,33.7
CUST-100399,5/25/2023,,Pro,Annual,79,0,30.3
CUST-100400,4/18/2023,,Pro,Monthly,79,6,28.2
CUST-100401,4/9/2022,,Basic,Annual,29,5,51.5
CUST-100402,6/2/2022,,Basic,Monthly,29,1,46
CUST-100403,5/10/2024,,Basic,Annual,29,2,34.1
CUST-100404,7/2/2024,,Basic,Monthly,29,1,15.2
CUST-100405,6/14/2024,,Basic,Monthly,29,6,23.4
CUST-100406,5/27/2024,,Pro,Annual,79,2,32.9
CUST-100407,12/4/2022,,Basic,Monthly,29,1,71.9
CUST-100408,12/7/2023,,Pro,Monthly,79,2,25.3
CUST-100409,4/1/2024,,Basic,Monthly,29,5,43.6
CUST-100410,6/12/2022,,Basic,Annual,29,0,6.1
CUST-100411,12/21/2023,,Basic,Monthly,29,3,37.7
CUST-100412,8/14/2024,,Pro,Monthly,79,2,45.2
CUST-100413,11/12/2023,,Basic,Annual,29,1,45.9
CUST-100414,9/22/2024,12/11/2024,Pro,Annual,79,4,34.4
CUST-100415,6/10/2022,7/11/2022,Pro,Monthly,79,4,75.5
CUST-100416,8/3/2023,9/4/2023,Basic,Annual,29,4,29.2
CUST-100417,3/11/2024,,Pro,Monthly,79,4,20.4
CUST-100418,2/2/2023,,Enterprise,Annual,299,2,51.2
CUST-100419,10/4/2022,,Pro,Monthly,79,1,29.2
